V1,V2,Row,Column,Cell,Meta,Name,Rep,Drug,Conc,Time,Peptide.Name,Protein.Name
P2G07,36,G,7,G07,DC.L.48,DC.L.48.3,3,DC,L,48,Intensity.P2G07,LFQ.intensity.P2G07
P2G08,37,G,8,G08,CP.L.48,CP.L.48.3,3,CP,L,48,Intensity.P2G08,LFQ.intensity.P2G08
P2G09,38,G,9,G09,DC.H.48,DC.H.48.3,3,DC,H,48,Intensity.P2G09,LFQ.intensity.P2G09
P2G10,39,G,10,G10,PR.H.48,PR.H.48.2,2,PR,H,48,Intensity.P2G10,LFQ.intensity.P2G10
P2G11,40,G,11,G11,CP.H.48,CP.H.48.2,2,CP,H,48,Intensity.P2G11,LFQ.intensity.P2G11
P2G12,41,G,12,G12,CP.M.48,CP.M.48.3,3,CP,M,48,Intensity.P2G12,LFQ.intensity.P2G12
P2H07,42,H,7,H07,PR.H.48,PR.H.48.3,3,PR,H,48,Intensity.P2H07,LFQ.intensity.P2H07
P2H08,43,H,8,H08,DC.M.48,DC.M.48.3,3,DC,M,48,Intensity.P2H08,LFQ.intensity.P2H08
P2H09,44,H,9,H09,AZ.H.48,AZ.H.48.3,3,AZ,H,48,Intensity.P2H09,LFQ.intensity.P2H09
P2H10,45,H,10,H10,NC.1D.48,NC.1D.48.3,3,NC,1D,48,Intensity.P2H10,LFQ.intensity.P2H10
P2H11,46,H,11,H11,CP.H.48,CP.H.48.1,1,CP,H,48,Intensity.P2H11,LFQ.intensity.P2H11
P2H12,47,H,12,H12,AZ.M.48,AZ.M.48.3,3,AZ,M,48,Intensity.P2H12,LFQ.intensity.P2H12
