Raw file	Experiment	Fraction	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Fixed modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
20180803_Patnode_INSeq2_Day19_HiSF_m09_1_134_12ug_MudPIT_QE3_01	HiSF_15spcs_m09_1_134	1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		7857	8864	0	12292	5436	0	6856	1695	1527	0	168	13.79	28.09	NaN	2.45	1020	250388	7292	2.91	786	10.78	19420	4254	3824	21.91	26.54	884	20.78	+	1.2593	1.6106	0.85508	1.148	
20180803_Patnode_INSeq2_Day19_HiSF_m09_1_134_12ug_MudPIT_QE3_02	HiSF_15spcs_m09_1_134	2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		12306	42376	0	59091	25661	0	33430	8571	7265	0	1306	14.5	28.31	NaN	3.91	4284	674322	32678	4.85	5329	16.31	60231	17581	16415	29.19	31.63	5646	32.11	+	1.3847	1.7752	1.0349	1.373	
20180803_Patnode_INSeq2_Day19_HiSF_m09_1_134_12ug_MudPIT_QE3_03	HiSF_15spcs_m09_1_134	3	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13451	36404	0	50235	22573	0	27662	10793	9299	0	1494	21.49	41.2	NaN	5.4	5280	629903	27834	4.42	4725	16.98	54458	15054	14544	27.64	29.48	5206	34.58	+	1.2808	1.6794	0.92716	1.2657	
20180803_Patnode_INSeq2_Day19_HiSF_m09_1_134_12ug_MudPIT_QE3_04	HiSF_15spcs_m09_1_134	4	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13887	34011	0	47606	20416	0	27190	10264	8722	0	1542	21.56	42.72	NaN	5.67	4919	614734	26139	4.25	4081	15.61	50963	13437	13026	26.37	27.96	4513	33.59	+	1.2039	1.5835	0.83043	1.1386	
20180803_Patnode_INSeq2_Day19_HiSF_m09_1_134_12ug_MudPIT_QE3_05	HiSF_15spcs_m09_1_134	5	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14191	36449	0	51952	20946	0	31006	9756	8509	0	1247	18.78	40.62	NaN	4.02	4626	745547	28382	3.81	4175	14.71	61389	13930	13527	22.69	24.02	4562	32.75	+	1.212	1.5962	0.80286	1.0994	
20180803_Patnode_INSeq2_Day19_HiSF_m14_1_136_12ug_MudPIT_QE3_01	HiSF_15spcs_m14_1_136	1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		7912	8490	0	11583	5397	0	6186	1460	1334	0	126	12.6	24.72	NaN	2.04	935	243101	7125	2.93	717	10.06	18929	4344	3890	22.95	28.66	827	19.04	+	1.2041	1.5781	0.82153	1.1312	
20180803_Patnode_INSeq2_Day19_HiSF_m14_1_136_12ug_MudPIT_QE3_02	HiSF_15spcs_m14_1_136	2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		12082	43586	0	60600	26572	0	34028	9254	7930	0	1324	15.27	29.84	NaN	3.89	4856	678635	34038	5.02	5469	16.07	62370	18502	17266	29.66	32.33	5745	31.05	+	1.4431	1.838	1.0798	1.4227	
20180803_Patnode_INSeq2_Day19_HiSF_m14_1_136_12ug_MudPIT_QE3_03	HiSF_15spcs_m14_1_136	3	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13323	37233	0	51226	23240	0	27986	11321	9575	0	1746	22.1	41.2	NaN	6.24	5515	672317	28697	4.27	4882	17.01	58630	15623	15082	26.65	28.38	5201	33.29	+	1.3291	1.7274	0.95645	1.2901	
20180803_Patnode_INSeq2_Day19_HiSF_m14_1_136_12ug_MudPIT_QE3_04	HiSF_15spcs_m14_1_136	4	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13685	35200	0	49512	20888	0	28624	10667	9051	0	1616	21.54	43.33	NaN	5.65	5213	650590	27306	4.2	4157	15.22	54914	13990	13561	25.48	27.1	4586	32.78	+	1.2379	1.6277	0.85044	1.1621	
20180803_Patnode_INSeq2_Day19_HiSF_m14_1_136_12ug_MudPIT_QE3_05	HiSF_15spcs_m14_1_136	5	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13934	37822	0	53783	21861	0	31922	10737	9272	0	1465	19.96	42.41	NaN	4.59	4940	789427	29579	3.75	4373	14.78	65571	14550	14108	22.19	23.51	4792	32.93	+	1.2661	1.639	0.83503	1.1203	
20180817_Patnode_INSeq2_Day19_PEF_mWH2_m00_0_127_12ug_MudPIT_QE3_01	PEFi_14spcs_m00_0_127	1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		7893	8432	0	11373	5491	0	5882	2122	1987	0	135	18.66	36.19	NaN	2.3	1466	278366	7171	2.58	650	9.06	21063	4517	4232	21.45	26.44	735	16.27	+	1.2918	1.6512	0.85095	1.1424	
20180817_Patnode_INSeq2_Day19_PEF_mWH2_m00_0_127_12ug_MudPIT_QE3_02	PEFi_14spcs_m00_0_127	2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		12696	40444	0	53610	27278	0	26332	15827	13674	0	2153	29.52	50.13	NaN	8.18	9726	641100	32425	5.06	5053	15.58	62417	19645	18750	31.47	34.8	5762	29.33	+	1.3642	1.7556	0.96245	1.2845	
20180817_Patnode_INSeq2_Day19_PEF_mWH2_m00_0_127_12ug_MudPIT_QE3_03	PEFi_14spcs_m00_0_127	3	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13630	35030	0	45846	24214	0	21632	15823	13592	0	2231	34.51	56.13	NaN	10.31	9300	608353	28037	4.61	4401	15.7	57549	17455	17018	30.33	32.55	5128	29.38	+	1.278	1.6732	0.86907	1.1809	
20180817_Patnode_INSeq2_Day19_PEF_mWH2_m00_0_127_12ug_MudPIT_QE3_04	PEFi_14spcs_m00_0_127	4	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13897	33304	0	44170	22438	0	21732	14539	12797	0	1742	32.92	57.03	NaN	8.02	8324	635150	26717	4.21	3968	14.85	57459	16200	15845	28.19	30.04	4687	28.93	+	1.2192	1.6046	0.80244	1.0956	
20180817_Patnode_INSeq2_Day19_PEF_mWH2_m00_0_127_12ug_MudPIT_QE3_05	PEFi_14spcs_m00_0_127	5	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14092	35909	0	48307	23511	0	24796	15032	13106	0	1926	31.12	55.74	NaN	7.77	8034	760457	28940	3.81	4002	13.83	68367	16976	16622	24.83	26.49	4850	28.57	+	1.2098	1.5872	0.78698	1.0697	
20180818_Patnode_INSeq2_Day19_PEF_m05_2_142_12ug_MudPIT_QE3_01	PEFi_15spcs_m05_2_142	1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		7450	10880	0	14894	6866	0	8028	2525	2380	0	145	16.95	34.66	NaN	1.81	1577	275135	9253	3.36	728	7.87	22770	5840	5564	25.65	29.98	792	13.56	+	1.2141	1.5755	0.78145	1.0671	
20180818_Patnode_INSeq2_Day19_PEF_m05_2_142_12ug_MudPIT_QE3_02	PEFi_15spcs_m05_2_142	2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		12702	40289	0	53399	27179	0	26220	13891	11963	0	1928	26.01	44.02	NaN	7.35	8242	686793	32180	4.69	5033	15.64	65712	19720	18748	30.01	33.13	5701	28.91	+	1.3639	1.7544	0.95434	1.2684	
20180818_Patnode_INSeq2_Day19_PEF_m05_2_142_12ug_MudPIT_QE3_03	PEFi_15spcs_m05_2_142	3	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13637	34900	0	45756	24044	0	21712	14898	12915	0	1983	32.56	53.71	NaN	9.13	8486	629534	27764	4.41	4391	15.82	58699	17216	16773	29.33	31.5	5090	29.57	+	1.2877	1.6798	0.8782	1.1883	
20180818_Patnode_INSeq2_Day19_PEF_m05_2_142_12ug_MudPIT_QE3_04	PEFi_15spcs_m05_2_142	4	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14033	32413	0	42928	21898	0	21030	13591	11886	0	1705	31.66	54.28	NaN	8.11	7587	629959	25931	4.12	3842	14.82	55278	15669	15328	28.35	30.51	4581	29.24	+	1.1924	1.5756	0.7911	1.0891	
20180818_Patnode_INSeq2_Day19_PEF_m05_2_142_12ug_MudPIT_QE3_05	PEFi_15spcs_m05_2_142	5	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14063	36266	0	48519	24013	0	24506	14459	12777	0	1682	29.8	53.21	NaN	6.86	7624	732187	29354	4.01	4043	13.77	65773	17381	16975	26.43	28.03	4851	27.91	+	1.2022	1.5821	0.7852	1.0716	
20180818_Patnode_INSeq2_Day19_PEF_m08_2_143_12ug_MudPIT_QE3_01	PEFi_15spcs_m08_2_143	1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		7464	10799	0	13878	7720	0	6158	3464	3231	0	233	24.96	41.85	NaN	3.78	2309	281804	9610	3.41	654	6.81	24629	6644	6408	26.98	31.35	901	13.56	+	1.2823	1.6458	0.82588	1.1039	
20180818_Patnode_INSeq2_Day19_PEF_m08_2_143_12ug_MudPIT_QE3_02	PEFi_15spcs_m08_2_143	2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		12460	41639	0	55688	27590	0	28098	14565	12567	0	1998	26.15	45.55	NaN	7.11	9036	672905	33258	4.94	5189	15.6	66500	20073	19104	30.18	33.3	5755	28.67	+	1.4233	1.8161	1	1.3198	
20180818_Patnode_INSeq2_Day19_PEF_m08_2_143_12ug_MudPIT_QE3_03	PEFi_15spcs_m08_2_143	3	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13458	35939	0	47362	24516	0	22846	15153	12994	0	2159	31.99	53	NaN	9.45	8947	635354	28719	4.52	4459	15.53	61051	17791	17338	29.14	31.29	5114	28.74	+	1.3116	1.7081	0.89686	1.2139	
20180818_Patnode_INSeq2_Day19_PEF_m08_2_143_12ug_MudPIT_QE3_04	PEFi_15spcs_m08_2_143	4	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13891	33281	0	44016	22546	0	21470	13431	11827	0	1604	30.51	52.46	NaN	7.47	7756	657673	26895	4.09	3936	14.63	60306	16215	15836	26.89	28.63	4758	29.34	+	1.241	1.6261	0.82291	1.1226	
20180818_Patnode_INSeq2_Day19_PEF_m08_2_143_12ug_MudPIT_QE3_05	PEFi_15spcs_m08_2_143	5	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13902	37174	0	50555	23793	0	26762	14231	12432	0	1799	28.15	52.25	NaN	6.72	7775	743829	29972	4.03	4001	13.35	69155	17398	16987	25.16	26.67	4802	27.6	+	1.2232	1.5987	0.79379	1.0797	
20180818_Patnode_INSeq2_Day19_PEF_mWH2_m01_1_128_12ug_MudPIT_QE3_01	PEFi_14spcs_m01_1_128	1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		7614	10041	0	12915	7167	0	5748	3409	3155	0	254	26.4	44.02	NaN	4.42	2240	281548	8834	3.14	690	7.81	23981	6106	5885	25.46	29.39	886	14.51	+	1.2699	1.6445	0.82057	1.0996	
20180818_Patnode_INSeq2_Day19_PEF_mWH2_m01_1_128_12ug_MudPIT_QE3_02	PEFi_14spcs_m01_1_128	2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		12830	39554	0	52637	26471	0	26166	14158	12161	0	1997	26.9	45.94	NaN	7.63	8645	682012	31573	4.63	5068	16.05	64512	19107	18170	29.62	32.49	5586	29.24	+	1.3895	1.7824	0.97477	1.296	
20180818_Patnode_INSeq2_Day19_PEF_mWH2_m01_1_128_12ug_MudPIT_QE3_03	PEFi_14spcs_m01_1_128	3	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13584	35106	0	46312	23900	0	22412	15136	12979	0	2157	32.68	54.31	NaN	9.62	8931	639003	27759	4.34	4501	16.21	59522	17126	16635	28.77	30.92	5130	29.95	+	1.3207	1.7144	0.89735	1.2107	
20180818_Patnode_INSeq2_Day19_PEF_mWH2_m01_1_128_12ug_MudPIT_QE3_04	PEFi_14spcs_m01_1_128	4	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13842	33417	0	44142	22692	0	21450	14205	12465	0	1740	32.18	54.93	NaN	8.11	8102	670626	26686	3.98	4049	15.17	60692	16192	15830	26.68	28.45	4829	29.82	+	1.2429	1.6312	0.82019	1.1221	
20180818_Patnode_INSeq2_Day19_PEF_mWH2_m01_1_128_12ug_MudPIT_QE3_05	PEFi_14spcs_m01_1_128	5	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14085	36119	0	48592	23646	0	24946	14559	12796	0	1763	29.96	54.11	NaN	7.07	7961	762504	29063	3.81	4036	13.89	68321	16926	16546	24.77	26.22	4906	28.98	+	1.2382	1.6207	0.80632	1.0924	
20180818_Patnode_INSeq2_Day19_PEF_mWH2_m02_1_129_12ug_MudPIT_QE3_01	PEFi_14spcs_m02_1_129	1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		7572	10242	0	13090	7394	0	5696	3635	3349	0	286	27.77	45.29	NaN	5.02	2335	282999	9141	3.23	628	6.87	24482	6424	6215	26.24	30.43	819	12.75	+	1.2738	1.6383	0.816	1.0831	
20180818_Patnode_INSeq2_Day19_PEF_mWH2_m02_1_129_12ug_MudPIT_QE3_02	PEFi_14spcs_m02_1_129	2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		12774	39976	0	52837	27115	0	25722	14906	12894	0	2012	28.21	47.55	NaN	7.82	9145	666484	31923	4.79	5086	15.93	64257	19539	18616	30.41	33.4	5757	29.46	+	1.3837	1.7834	0.96509	1.2879	
20180818_Patnode_INSeq2_Day19_PEF_mWH2_m02_1_129_12ug_MudPIT_QE3_03	PEFi_14spcs_m02_1_129	3	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13589	35305	0	46390	24220	0	22170	15480	13401	0	2079	33.37	55.33	NaN	9.38	9172	617895	28045	4.54	4543	16.2	58659	17380	16921	29.63	31.71	5213	29.99	+	1.3013	1.6947	0.88581	1.1986	
20180818_Patnode_INSeq2_Day19_PEF_mWH2_m02_1_129_12ug_MudPIT_QE3_04	PEFi_14spcs_m02_1_129	4	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13854	33570	0	44425	22715	0	21710	14293	12698	0	1595	32.17	55.9	NaN	7.35	8272	645574	26953	4.18	4053	15.04	59287	16348	15986	27.57	29.22	4790	29.3	+	1.2203	1.6076	0.81124	1.1116	
20180818_Patnode_INSeq2_Day19_PEF_mWH2_m02_1_129_12ug_MudPIT_QE3_05	PEFi_14spcs_m02_1_129	5	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		14189	35532	0	47501	23563	0	23938	14595	12900	0	1695	30.73	54.75	NaN	7.08	7974	765366	28752	3.76	4050	14.09	68455	16894	16551	24.68	26.15	4898	28.99	+	1.2253	1.6024	0.80039	1.0858	
20180818_Patnode_INSeq2_Day19_PEF_mWH2_m04_1_130_12ug_MudPIT_QE3_01	PEFi_14spcs_m04_1_130	1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		7778	9145	0	11837	6453	0	5384	3088	2838	0	250	26.09	43.98	NaN	4.64	2069	273500	8053	2.94	597	7.41	23092	5507	5187	23.85	28.14	767	13.93	+	1.2721	1.6392	0.82317	1.1056	
20180818_Patnode_INSeq2_Day19_PEF_mWH2_m04_1_130_12ug_MudPIT_QE3_02	PEFi_14spcs_m04_1_130	2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		12608	40855	0	54403	27307	0	27096	13724	11907	0	1817	25.23	43.6	NaN	6.71	8423	681352	32519	4.77	5158	15.86	65663	19781	18700	30.13	33.15	5672	28.67	+	1.4255	1.8218	1.0015	1.325	
20180818_Patnode_INSeq2_Day19_PEF_mWH2_m04_1_130_12ug_MudPIT_QE3_03	PEFi_14spcs_m04_1_130	3	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13489	35842	0	47334	24350	0	22984	14190	12134	0	2056	29.98	49.83	NaN	8.95	8396	631210	28529	4.52	4515	15.83	60296	17528	17078	29.07	31.25	5186	29.59	+	1.3002	1.6861	0.87966	1.1834	
20180818_Patnode_INSeq2_Day19_PEF_mWH2_m04_1_130_12ug_MudPIT_QE3_04	PEFi_14spcs_m04_1_130	4	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13748	34114	0	45457	22771	0	22686	13334	11644	0	1690	29.33	51.14	NaN	7.45	7530	685427	27232	3.97	4142	15.21	61728	16288	15854	26.39	28.13	4842	29.73	+	1.2492	1.6374	0.82101	1.1186	
20180818_Patnode_INSeq2_Day19_PEF_mWH2_m04_1_130_12ug_MudPIT_QE3_05	PEFi_14spcs_m04_1_130	5	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13935	36950	0	49714	24186	0	25528	14238	12509	0	1729	28.64	51.72	NaN	6.77	7688	793427	29957	3.78	4058	13.55	71588	17472	17050	24.41	25.92	4988	28.55	+	1.2378	1.6161	0.80714	1.0922	
20180818_Patnode_INSeq2_Day19_PEF_mWH2_m13_1_131_12ug_MudPIT_QE3_01	PEFi_14spcs_m13_1_131	1	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		7460	10820	0	13906	7734	0	6172	3622	3353	0	269	26.05	43.35	NaN	4.36	2363	282680	9608	3.4	639	6.65	25327	6785	6573	26.79	31.11	798	11.76	+	1.2909	1.6698	0.82394	1.1041	
20180818_Patnode_INSeq2_Day19_PEF_mWH2_m13_1_131_12ug_MudPIT_QE3_02	PEFi_14spcs_m13_1_131	2	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		12641	40671	0	54135	27207	0	26928	14893	12920	0	1973	27.51	47.49	NaN	7.33	9187	663269	32529	4.9	5120	15.74	64260	19747	18844	30.73	33.79	5697	28.85	+	1.406	1.7934	0.98742	1.3058	
20180818_Patnode_INSeq2_Day19_PEF_mWH2_m13_1_131_12ug_MudPIT_QE3_03	PEFi_14spcs_m13_1_131	3	Trypsin/P	Specific			False	Acetyl (Protein N-term);Oxidation (M)	Carbamidomethyl (C)			False	False	1	2		Standard		13535	35577	0	46979	24175	0	22804	15210	13146	0	2064	32.38	54.38	NaN	9.05	8980	622588	28460	4.57	4345	15.27	59642	17545	17085	29.42	31.48	5046	28.76	+	1.305	1.7051	0.88701	1.2009	
