COG_number,taxon,LFQ intensity HiSF_14spcs_m04_2_147,LFQ intensity HiSF_14spcs_m06_2_148,LFQ intensity HiSF_14spcs_m07_2_149,LFQ intensity HiSF_14spcs_m10_2_150,LFQ intensity HiSF_14spcs_m13_2_151,LFQ intensity HiSF_15spcs_m03_1_132,LFQ intensity HiSF_15spcs_m07_1_133,LFQ intensity HiSF_15spcs_m09_1_134,LFQ intensity HiSF_15spcs_m14_1_136,LFQ intensity PEFi_14spcs_m00_0_127,LFQ intensity PEFi_14spcs_m01_1_128,LFQ intensity PEFi_14spcs_m02_1_129,LFQ intensity PEFi_14spcs_m04_1_130,LFQ intensity PEFi_14spcs_m13_1_131,LFQ intensity PEFi_15spcs_m05_2_142,LFQ intensity PEFi_15spcs_m08_2_143,LFQ intensity PEFi_15spcs_m09_2_144,LFQ intensity PEFi_15spcs_m12_2_145,LFQ intensity PEFi_15spcs_m14_2_146
28I3N,Bacteroides ovatus,0,0,0,0,0,0,0,0,0,0,0,119690,0,0,0,0,0,0,0
28I5V,Bacteroides cellulosilyticus,71113,0,0,0,0,1107200,0,0,581940,844780,0,0,0,0,3239200,18298000,30399000,11586000,31287000
28I6K,Bacteroides thetaiotaomicron VPI-5482,2272300,447610,3137600,2821500,1019300,2910800,1481500,2422900,2280700,2027500,2192400,1958500,1138600,898360,6301900,803790,2823000,3912500,1948400
28I6K,Bacteroides thetaiotaomicron VPI-5482,0,633990,0,0,0,0,0,0,0,888630,0,0,0,0,0,0,0,893860,0
28I6K,Bacteroides caccae TSDC17.2,1918600,2211100,2900500,2387900,2593700,2543200,617490,4172300,1612100,684840,0,887880,694430,727690,622650,0,0,4204200,0
28I6Q,Escherichia coli TSDC17.2,2398700,2287400,0,3830300,0,0,0,0,0,2695100,1548700,1834100,0,2065800,967220,2430000,2202700,866720,2557100
28IBC,Bacteroides thetaiotaomicron VPI-5482,3208800,1550400,0,0,1822100,0,0,0,0,1848500,1971900,1505000,1716300,1575600,3473800,1488600,1273000,2356300,0
28IE8,Odoribacter splanchnicus TSDC17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629000,0
28IER,Bacteroides caccae TSDC17.2,0,407800,0,0,263260,0,0,0,0,182540,210590,0,0,338020,349650,373090,0,0,0
28IG3,Bacteroides cellulosilyticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2199900,1388100,0,2994300
28IG3,Parabacteroides distasonis TSDC17.2,399620,0,0,0,680340,0,1318300,0,795400,0,281330,0,0,0,0,0,670970,0,0
28IGV,Ruminococcaceae sp.,0,0,0,0,0,0,247930,0,361100,0,366320,0,292710,0,1493200,1226500,0,1631600,853410
28IHK,Escherichia coli TSDC17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462410,0
28IHQ,Escherichia coli TSDC17.2,0,0,0,0,0,0,0,0,0,1313600,0,1506500,2041700,1867500,0,0,3031000,0,2180500
28IIM,Bacteroides thetaiotaomicron VPI-5482,4462300,2815600,10755000,2852600,2593700,12114000,14686000,15291000,17733000,2939500,2620500,3013600,3235000,2051700,4674800,2629700,1471700,4222300,3498000
28IJR,Escherichia coli TSDC17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28ISS,Bacteroides ovatus,88527000,111990000,128830000,88660000,69545000,29281000,38585000,34460000,25882000,140890000,134010000,171410000,150620000,82264000,81672000,52275000,62766000,36464000,43773000
28ISS,Bacteroides cellulosilyticus,358780,410140,0,233400,0,6350300,14195000,4156100,16548000,252180,0,130210,535400,0,9661900,16846000,36747000,29093000,53758000
28ISS,Bacteroides cellulosilyticus,0,0,243300,0,0,1788600,3537500,942570,2942900,548650,176610,0,194030,0,5086300,15346000,15843000,5643800,7039400
28ISS,Odoribacter splanchnicus TSDC17.2,2915700,10245000,7244500,9962500,4399700,843770,654680,900000,461310,4120300,4500300,3275700,1804200,1472700,2230400,956100,1458500,1385400,0
28ITI,Bacteroides cellulosilyticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28IVF,Bacteroides ovatus,38391000,26909000,21384000,57796000,46901000,3172100,12795000,3605600,2442500,63374000,56287000,46206000,39426000,16855000,25046000,28015000,29157000,20964000,16132000
28IZR,Bacteroides thetaiotaomicron VPI-5482,0,0,2666000,1107900,0,0,0,0,0,1256000,0,0,0,0,4945000,0,0,3197900,0
28IZR,Bacteroides ovatus,1726500,3843000,5626600,4156000,5046400,20401000,0,0,2401000,6956100,4373900,7232100,6354300,5210200,3235600,3863600,5073100,0,5235000
28J1N,Bacteroides ovatus,0,0,0,0,0,0,0,0,0,1419000,827250,1112900,1116700,1242100,0,0,601090,0,0
28J57,Bacteroides thetaiotaomicron VPI-5482,806410,964230,1591900,885370,784350,2269800,4093900,0,3524100,6137300,3228300,959420,588490,1510400,6730700,2927500,4344100,6453200,410420
28J57,Bacteroides thetaiotaomicron VPI-5482,856770,3015800,3793300,3167100,3488600,3042900,0,0,0,6098400,3993000,3656800,6874200,4877300,5269500,3153300,3695700,3703500,2604500
28J57,Bacteroides vulgatus ATCC 8482,0,0,0,0,0,0,0,0,0,1031100,902020,1889000,1032300,1656000,662830,0,654830,0,0
28J57,Bacteroides ovatus,1157400,759640,609160,1512700,1034500,0,1188700,0,1633400,2474200,2610500,3135600,2314900,2413700,691070,1465600,1896800,1017300,3149100
28J57,Bacteroides ovatus,10631000,7351400,6891900,8741100,9205200,2031700,4645900,0,5238000,11000000,8192700,10286000,15244000,9938100,6476900,5816500,6054400,5602200,8017700
28J57,Bacteroides cellulosilyticus,0,0,0,0,445550,2166600,13923000,11031000,16837000,6466800,0,0,0,2531600,2161200,16041000,20028000,13374000,16947000
28J57,Bacteroides cellulosilyticus,803380,345650,0,573450,1706700,21964000,44171000,70920000,78393000,3592900,3783700,2524000,101350,161530,77387000,223470000,240260000,138270000,233340000
28J57,Bacteroides caccae TSDC17.2,40251000,22470000,33094000,17376000,28565000,24341000,14506000,12712000,18077000,6944800,7854900,3868100,5792400,7852900,12772000,8546500,13936000,16386000,9737200
28J57,Bacteroides caccae TSDC17.2,0,0,0,0,0,675990,905270,1272400,1164100,0,442610,0,0,629870,0,0,499710,0,597430
28J7P,Escherichia coli TSDC17.2,7123900,4927200,12684000,17763000,10763000,2608400,4511500,2471100,6178600,12055000,17060000,11630000,9988300,12450000,7327500,24659000,8856300,8288300,23069000
28JDC,Escherichia coli TSDC17.2,0,0,0,0,0,0,0,0,0,499690,0,435050,400790,433630,0,523850,0,0,834240
28JMD,Odoribacter splanchnicus TSDC17.2,0,0,0,1207200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28JMJ,Bacteroides caccae TSDC17.2,3130500,1442100,1460000,1566500,0,1340200,989170,1558000,957340,841480,422090,0,566800,641910,469640,1177900,678550,778710,0
28JT8,Bacteroides ovatus,34461000,36618000,39384000,45334000,37634000,49095000,9958000,13015000,36278000,45615000,42666000,54464000,40728000,39754000,35436000,37237000,37471000,31833000,37818000
28JU1,Bacteroides ovatus,0,0,1450100,1032200,1000300,0,0,0,0,1518900,0,2418700,0,1641500,0,0,1032800,0,0
28JX9,Subdoligranulum variabile TSDC17.2,2182200,4615600,5809600,7272100,3838900,10117000,1075000,9924600,12525000,2546000,5215800,5178400,9077600,7262400,10679000,6369500,8165200,4669900,6898900
28JXB,Bacteroides thetaiotaomicron VPI-5482,0,0,0,0,0,0,0,1122000,0,0,0,0,0,0,0,0,0,0,0
28JXB,Bacteroides ovatus,0,0,0,129510,147950,0,0,0,0,0,37985,0,0,31433,0,0,0,0,84338
28JXB,Bacteroides cellulosilyticus,0,0,0,0,0,0,0,0,0,0,357680,0,1869000,74275,0,0,0,0,0
28JY0,Bacteroides vulgatus ATCC 8482,0,0,0,0,392650,0,0,0,0,0,0,0,3553900,0,0,308850,0,0,0
28K2Q,Bacteroides ovatus,67341000,61338000,86686000,75029000,56194000,3479700,0,0,364050,112690000,79496000,46466000,65123000,58723000,0,0,709860,931250,0
28K2Q,Bacteroides ovatus,214300,0,0,0,0,0,0,0,0,244770,253290,451010,389880,564540,0,0,0,0,0
28K2Q,Bacteroides ovatus,0,0,0,0,0,0,0,0,0,1300600,0,0,0,0,0,960310,0,0,0
28K2Q,Bacteroides cellulosilyticus,0,0,0,0,114090,1733000,6000600,3890800,4589000,203400,0,310720,0,0,12791000,25509000,31534000,19275000,29480000
28K2Q,Bacteroides cellulosilyticus,18183000,19692000,45070000,26765000,19731000,16665000,20754000,19719000,21433000,8715100,12379000,9510100,9178100,9961400,24733000,36088000,34518000,55392000,48163000
28K7W,Bacteroides ovatus,0,1525900,0,0,0,0,0,0,0,0,642020,1172500,913000,0,0,0,0,0,0
28K7W,Bacteroides ovatus,0,0,0,0,0,0,0,0,0,0,0,0,0,449800,0,0,0,0,0
28K8M,Bacteroides cellulosilyticus,0,0,0,0,0,7284400,1445060,1781980,1592780,0,0,0,0,0,2157000,1661820,1359320,2389600,1627640
28KB0,Bacteroides thetaiotaomicron VPI-5482,2096700,424830,2173600,841100,1144100,0,1793700,1714300,0,0,1443300,843680,992630,736980,899770,2262700,1614300,960600,494840
28KF4,Bacteroides thetaiotaomicron VPI-5482,0,0,0,0,0,0,0,0,0,0,231960,0,0,0,0,0,0,0,0
28KF4,Bacteroides cellulosilyticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443740,0,0,695080,0
28KH3,Bacteroides thetaiotaomicron VPI-5482,11978000,4531400,4150200,3414500,882310,1211300,0,3624900,1721800,50256000,34340000,37586000,37095000,35954000,44285000,35316000,31295000,49615000,29369000
28KH3,Bacteroides thetaiotaomicron VPI-5482,1080400,924610,1529500,1130900,748370,0,0,0,0,5093900,4076400,3291200,2216300,2492600,8168700,3964800,2078700,10939000,3447400
28KH3,Bacteroides ovatus,0,0,2524500,0,4477400,0,0,0,0,0,0,0,3688600,0,0,0,0,0,0
28KH3,Bacteroides cellulosilyticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,985420,1561300,1883200,2199600,2415300
28KH3,Bacteroides caccae TSDC17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28KZ4,Bacteroides thetaiotaomicron VPI-5482,0,0,0,0,0,0,0,0,0,391380,1163600,922450,715360,293590,0,0,0,0,0
28M0R,Bacteroides thetaiotaomicron VPI-5482,1181300,129440,552730,208590,0,0,466540,525640,1729400,66656000,35999000,36317000,22139000,32099000,45453000,10255000,8132100,46287000,6958400
28M0R,Bacteroides vulgatus ATCC 8482,10048000,11199000,10446000,15901000,15346000,10756000,7779800,2539100,6729000,60767000,56178000,58881000,60767000,74935000,82638000,21904000,18383000,23143000,12828000
28M0R,Bacteroides cellulosilyticus,0,50726,0,86795,114130,641840,384290,174590,377780,0,0,0,0,63192,33752000,61382000,63574000,174990000,68869000
28M15,Bacteroides thetaiotaomicron VPI-5482,0,0,0,0,0,0,1605300,0,0,5583400,6425900,6650000,8443100,4254500,3754400,4909200,4687300,0,4686300
28M15,Bacteroides vulgatus ATCC 8482,0,0,0,0,568290,0,0,0,0,5220400,1556400,5412700,2224700,3669100,4028100,1614500,1209500,0,1171800
28M15,Bacteroides ovatus,0,0,0,0,2131500,0,1684400,2764600,0,17366000,8488100,12612000,11485000,16719000,0,9361500,5217900,0,4036700
28M15,Bacteroides cellulosilyticus,0,0,0,0,5660800,0,0,0,0,0,0,1527800,0,0,0,11326000,3384800,2280700,8484200
28M15,Bacteroides caccae TSDC17.2,0,0,0,0,0,1962800,0,0,0,794690,0,779960,0,0,0,1151200,0,2254900,0
28M15,Odoribacter splanchnicus TSDC17.2,0,678900,0,617130,582940,272350,0,0,0,0,0,0,0,0,622240,0,0,0,0
28M15,Parabacteroides distasonis TSDC17.2,939130,915960,0,919220,716490,0,3949000,4152700,4429500,611590,0,512610,504710,588380,0,528510,545780,341220,653550
28M2J,Escherichia coli TSDC17.2,1811400,2298000,2137800,1886100,2382100,4628600,1546800,0,672570,4323900,4326900,3478000,3959800,3868700,2479100,7480800,8083100,3934600,7755000
28MA2,Bacteroides thetaiotaomicron VPI-5482,0,0,0,0,0,0,1192200,0,0,0,0,0,0,270410,0,0,0,0,0
28MBX,Bacteroides thetaiotaomicron VPI-5482,0,0,0,0,0,0,0,0,0,518590,0,814820,418010,402290,0,375420,489060,0,0
28MDN,Bacteroides caccae TSDC17.2,0,0,0,0,0,0,1477100,0,1349400,0,0,0,1068500,0,0,173190,0,0,0
28MEJ,Bacteroides thetaiotaomicron VPI-5482,0,0,0,0,0,0,0,0,0,0,879830,0,0,1557000,0,0,0,0,0
28MEJ,Bacteroides thetaiotaomicron VPI-5482,1265400,2217500,1863300,1064700,0,388110,1641600,1872600,5720100,5774100,2483000,3168200,4000700,3358300,10597000,3456100,1783700,3242300,5006200
28MEJ,Bacteroides caccae TSDC17.2,99606000,79622000,38612000,74131000,83154000,32116000,57212000,44376000,45012000,15376000,9595800,6939800,6547400,12333000,17929000,10810000,20215000,37796000,33524000
28MEY,Bacteroides cellulosilyticus,26960000,22027000,3327300,20837000,13116000,0,5901900,8625600,7089000,2048900,1592100,2223700,2534900,1964000,0,2010800,2964200,5967700,2113600
28MN3,Escherichia coli TSDC17.2,3424800,4091900,0,6033500,5016700,2164400,7977100,7080800,7872600,4887700,2596800,5231800,2508400,4069700,3734500,2092700,5614800,5037000,7813400
28MTH,Bacteroides caccae TSDC17.2,0,0,0,0,0,0,0,1476100,0,0,0,0,0,0,0,0,0,0,0
28N4A,Bacteroides thetaiotaomicron VPI-5482,581630,1064200,1188800,891870,1437800,0,0,3349200,2196100,14702000,7682900,21453000,13957000,11480000,15382000,7142900,5167500,10090000,9390600
28N4A,Bacteroides vulgatus ATCC 8482,0,0,0,0,0,0,0,0,0,0,0,0,345730,0,0,0,0,0,0
28N4A,Bacteroides ovatus,5631500,8523500,6378400,7127800,5463600,5475200,6501800,21595000,14929000,15142000,17747000,16822000,17050000,15217000,9350200,11163000,10991000,7182800,13098000
28N4A,Bacteroides cellulosilyticus,0,0,0,0,0,0,0,369930,0,0,0,0,378510,0,902970,7594000,9497500,3860800,9659100
28N4A,Bacteroides caccae TSDC17.2,5950400,5423000,7419700,5004000,5223600,4470400,4209900,13633000,13690000,1587700,0,1725200,2779500,4010400,2889300,3084600,2532400,4251400,2659500
28N4A,Odoribacter splanchnicus TSDC17.2,4368700,14176000,10394000,14339000,9136200,4864800,2189300,4911500,3590500,3717200,1906900,0,0,0,3081000,0,1686100,0,0
28N4A,Parabacteroides distasonis TSDC17.2,656530,217180,484610,0,574950,469710,742810,0,834600,329650,0,482170,0,463400,0,272310,0,1529000,492390
28NBQ,Bacteroides cellulosilyticus,1072000,0,0,0,709140,16080000,11301000,13594000,21402000,549840,0,0,0,0,5050700,3674900,2548900,8341200,3723800
28NBQ,Bacteroides cellulosilyticus,0,0,0,0,0,1969300,1305800,2085500,1444100,0,0,0,0,0,0,1022600,0,0,0
28NBQ,Bacteroides finegoldii TSDC17.2,0,625840,0,1106900,1414300,871090,798340,6110300,2056200,678110,1276600,707610,0,885350,635700,0,664320,0,0
28NCC,Bacteroides vulgatus ATCC 8482,0,0,0,0,0,0,0,0,0,0,0,0,0,856920,0,0,0,0,0
28NCP,Bacteroides vulgatus ATCC 8482,0,965170,0,0,0,0,0,0,0,516830,0,0,0,0,797130,0,0,715950,0
28NG9,Bacteroides thetaiotaomicron VPI-5482,4486900,6789200,4929500,6849900,6723500,7168200,3530300,6242700,3693700,18887000,15528000,16472000,12409000,15881000,25477000,10485000,10371000,19278000,9479000
28NG9,Bacteroides vulgatus ATCC 8482,13174000,12112000,5227500,9803900,9500200,6584500,5579100,7426600,5961500,14978000,14024000,12171000,22204000,11805000,6755900,4499600,1165200,4005900,4503200
28NG9,Bacteroides ovatus,14973000,18057000,23266000,20197000,14827000,1260200,3008400,5551600,0,15950000,12006000,12823000,8196200,9686300,7876700,5093600,5969100,10617000,8993300
28NG9,Bacteroides cellulosilyticus,916180,0,0,0,1519600,7465100,16417000,12906000,15466000,2180100,1155800,953120,0,189720,2776700,12546000,16944000,5102600,14228000
28NG9,Bacteroides caccae TSDC17.2,0,0,0,0,600060,1230200,980340,0,0,0,0,0,0,0,0,0,0,0,0
28NG9,Parabacteroides distasonis TSDC17.2,2598100,3043700,1889000,2447600,2131500,5668200,11024000,6392700,8672100,1921400,0,1852700,0,0,0,0,0,2173100,0
28NPZ,Bacteroides thetaiotaomicron VPI-5482,0,0,0,0,0,0,0,0,0,939820,1573100,0,0,0,0,0,0,0,0
28NPZ,Bacteroides cellulosilyticus,0,0,1021800,2133300,0,4893000,5822400,8784300,6948700,0,361410,0,1814900,1012000,7198500,6101700,4692400,13967000,6270800
28NUA,Bacteroides cellulosilyticus,0,0,0,0,0,211320,0,0,0,0,0,0,0,0,0,0,0,0,0
28NXJ,Escherichia coli TSDC17.2,2102400,852530,754660,2142200,1519000,689580,0,0,0,6062600,3426600,2697500,4702700,4696500,0,5405300,5472300,869910,4707500
28NZ3,Bacteroides thetaiotaomicron VPI-5482,0,0,0,0,0,0,0,0,0,326830,0,0,0,0,0,0,0,0,0
28P2Y,Bacteroides ovatus,0,970530,1440500,1702800,1989300,573800,252860,106360,191790,2473000,3059500,3098300,520940,6972600,1184600,464690,672660,421360,1069500
28P2Y,Bacteroides ovatus,0,0,0,0,0,252330,0,0,0,395840,648120,516640,452360,748100,0,0,0,0,0
28P2Y,Bacteroides caccae TSDC17.2,2013500,1091300,2260600,1818800,1070800,3676700,6543000,4017800,7595500,2984200,1485600,2961300,2196300,4266000,706590,2578500,3152500,719470,3926900
28P2Y,Bacteroides caccae TSDC17.2,21450000,23980000,23039000,16845000,19125000,26112000,28931000,17547000,23338000,6470300,5725300,6144300,4576800,5888400,10078000,6504900,3956000,12097000,9954600
28P39,Bacteroides ovatus,0,0,0,0,0,0,0,0,591810,802510,963810,1052200,674960,184870,929800,640480,582290,1053100,506650
28P39,Bacteroides caccae TSDC17.2,0,1595100,0,1575800,0,0,0,0,0,588010,0,0,0,0,0,0,0,1888500,0
28P7K,Bacteroides vulgatus ATCC 8482,0,0,73125,0,0,0,0,0,0,126090,2732900,438370,150690,226270,0,30467,288330,0,0
28P7K,Bacteroides cellulosilyticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3346500,2333400,0,3288300
28PEC,Escherichia coli TSDC17.2,0,0,0,0,0,0,0,0,0,1767500,595700,894640,1066200,625560,0,997050,457170,1222800,924960
28PGZ,Bacteroides finegoldii TSDC17.2,0,0,0,0,0,0,0,1701700,2117100,884710,2572300,0,0,1152300,0,0,2013000,1318500,0
28PMV,Bacteroides cellulosilyticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426850,0,0,0
28PTU,Ruminococcaceae sp.,0,0,0,0,0,0,0,0,0,546620,0,0,508930,475290,848020,0,0,0,0
28QIR,Bacteroides ovatus,0,0,0,0,0,0,0,0,0,0,108540,0,0,0,0,0,87366,0,0
28QRW,Bacteroides ovatus,3221400,659200,0,923430,536900,0,0,0,0,352870,1969300,1567600,1498200,977850,0,672600,703480,0,0
28SJQ,Bacteroides thetaiotaomicron VPI-5482,0,0,0,0,0,0,0,0,0,633020,0,498980,0,420290,0,0,0,0,0
28T0B,Bacteroides vulgatus ATCC 8482,0,0,0,0,0,0,682160,0,0,146170,100830,129300,122940,165200,0,0,0,0,0
28TI5,Bacteroides finegoldii TSDC17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28U74,Bacteroides thetaiotaomicron VPI-5482,1729200,1385700,779290,1667800,1422000,604700,600600,2953600,0,4772200,3265600,4401100,4186300,3285500,4123300,2670200,2839600,3695400,2109000
28U74,Bacteroides vulgatus ATCC 8482,0,0,0,0,0,37155000,1534300,29670000,0,2364200,2105000,2475500,2496700,3046600,0,0,0,0,0
28U74,Bacteroides ovatus,4833800,2777600,5302100,3789800,7583900,0,0,0,509280,685250,0,0,0,0,0,0,0,0,0
28U74,Bacteroides cellulosilyticus,0,573660,0,0,0,9143400,9288100,9282000,4807300,4078300,480180,505500,899450,373740,9400100,6036900,10080000,21496000,14225000
28U74,Bacteroides caccae TSDC17.2,2860500,2056600,1129500,3344500,2700300,8863500,3872400,5102900,3288600,562550,0,0,0,0,0,0,853440,0,0
28U74,Bacteroides massiliensis TSDC17.2,0,0,0,0,0,0,0,0,0,500840,0,967680,1318800,1243100,0,0,0,0,0
28V07,Bacteroides thetaiotaomicron VPI-5482,0,2276500,5924400,2725200,4148600,5919500,4304900,7294600,4221900,7423800,9568700,8222500,5728300,6531100,15769000,6367300,8650400,11282000,7565000
28YHT,Bacteroides cellulosilyticus,0,0,0,0,0,0,0,0,126990,0,0,0,0,0,472200,0,769070,541090,1992000
2901B,Parabacteroides distasonis TSDC17.2,352780,0,0,0,667900,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290BC,Bacteroides thetaiotaomicron VPI-5482,0,0,0,0,0,0,0,0,0,0,540180,646410,0,314620,638770,0,319570,0,0
290BC,Bacteroides cellulosilyticus,0,0,0,0,453480,0,0,0,0,0,0,0,0,0,600360,0,0,826780,0
2920M,Bacteroides thetaiotaomicron VPI-5482,218370,62877,0,197390,225670,69853,84725,57093,66636,127430000,177760000,162490000,152600000,182110000,46260000,75573000,117280000,41934000,88846000
2920M,Bacteroides vulgatus ATCC 8482,0,0,0,0,0,0,0,0,0,1334100,0,0,1770800,2428500,0,0,0,0,0
2924H,Bacteroides vulgatus ATCC 8482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2924H,Bacteroides ovatus,0,1562800,5782900,2218000,501170,1013100,128910,2429600,2727900,9373100,6483800,10572000,13645000,6036300,2832700,4155400,3947800,1219500,4352000
2924H,Bacteroides cellulosilyticus,0,0,0,0,0,0,3928600,0,5381500,0,0,0,0,0,0,3239100,2501300,3178400,3470300
2924H,Bacteroides cellulosilyticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161400,3762000,0,3356800,2153100
292UM,Bacteroides thetaiotaomicron VPI-5482,1326700,0,708570,0,0,1637300,0,0,0,1879500,1895600,3126600,0,0,2967600,940480,0,1904200,1860100
292UM,Bacteroides vulgatus ATCC 8482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1361300,0,0,0,0
292UM,Bacteroides ovatus,1855200,2866900,3564800,3160500,2894500,4093000,2144500,1585600,2492400,4031300,3466300,3372000,2784300,1311400,3699000,0,1340400,2720200,783990
292UM,Bacteroides caccae TSDC17.2,1309400,1420300,0,1125800,1783500,2943500,2337900,0,718290,0,0,658750,0,0,1133200,1111500,0,2183200,0
292UM,Bacteroides massiliensis TSDC17.2,0,0,193360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269210,0
293VH,Bacteroides vulgatus ATCC 8482,0,0,0,0,0,0,0,0,0,245210,253730,340930,358140,328250,0,178970,180400,0,0
293VP,Bacteroides ovatus,0,0,0,0,0,0,0,0,0,792560,920380,851720,0,695300,0,0,0,0,0
2948U,Bacteroides cellulosilyticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2633400
295P0,Bacteroides cellulosilyticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674600,0,0,865880,0
